Serial number;ASIN;Title;Brand;Price;Rating;Reviews
57;B0I2M6O1R4;"Samsung Galaxy Book Go, 14""";Samsung;$349.99;3.3;412
58;B0J3N7P2S5;"Dell Latitude 7330, i7, 16GB";Dell;$1,549.99;4.5;53
59;B0K4O8Q3T6;"Lenovo ThinkPad X1 Carbon Gen 11";Lenovo;$1,799.99;4.8;312
60;B0L5P9R4U7;"ASUS ROG Flow X13, Ryzen 9, RTX 4070";ASUS;$2,199.99;4.7;109
61;B0M6Q1S5V8;"Acer Predator Triton 500 SE, i9, RTX 4080";Acer;$2,399.99;4.9;67
62;B0N7R2T6W9;"HP Elite Dragonfly, i7, 16GB, 5G";HP;$2,299.99;4.5;38
63;B0O8S3U7X1;"Microsoft Surface Laptop Studio, i7, 32GB";Microsoft;$2,099.99;4.7;215
64;B0P9T4V8Y2;"Razer Blade 14, Ryzen 9, RTX 4090";Razer;$2,899.99;4.8;52
65;B0Q1U5W9Z3;"Dell G16, i7, RTX 4070, 16GB";Dell;$1,599.99;4.3;432
66;B0R2V6X1A4;"ASUS ZenBook S 13 OLED, i7, 16GB";ASUS;$1,249.99;4.6;189
67;B0S3W7Y2B5;"Acer Aspire 7, Ryzen 5, GTX 1650";Acer;$699.99;3.6;645
68;B0T4X8Z3C6;"Lenovo Yoga 7i, 14"" 2-in-1, i5, 8GB";Lenovo;$749.99;4.0;278
69;B0U5Y9A4D7;"HP Pavilion Aero 13, Ryzen 7, 16GB";HP;$879.99;4.3;193
70;B0V6Z1B5E8;"MSI Modern 14, i5, 8GB, 512GB";MSI;$649.99;3.5;85
71;B0W7A2C6F9;"Samsung Galaxy Book 3 Ultra, i9, RTX 4070";Samsung;$1,899.99;4.7;134
72;B0X8B3D7G1;"Dell XPS 15, i9, 32GB, OLED, RTX 4080";Dell;$2,899.99;4.9;178
73;B0Y9C4E8H2;"ASUS ROG Strix Scar 17, i9, RTX 4090";ASUS;$3,199.99;4.9;87
74;B0Z1D5F9I3;"Acer Nitro 16, Ryzen 7, RTX 4060, 16GB";Acer;$1,199.99;4.2;345
75;B0A2E6G1J4;"Lenovo Legion Tower 5i, i7, RTX 4070";Lenovo;$1,699.99;4.5;156
76;B0B3F7H2K5;"HP Envy 16, i9, RTX 4060, 32GB";HP;$1,649.99;4.4;213
77;B0C4G8I3L6;"MSI Stealth 17, i7, RTX 4080, 32GB";MSI;$2,399.99;4.6;44
78;B0D5H9J4M7;"Acer ConceptD 7, i9, RTX 3080, 32GB";Acer;$2,199.99;4.5;29
79;B0E6I1K5N8;"Dell Precision 5770, i9, RTX A5000";Dell;$3,499.99;4.9;41
80;B0F7J2L6O9;"ASUS VivoBook S15, i5, 8GB, 512GB";ASUS;$749.99;3.6;512
81;B0G8K3M7P1;"Lenovo ThinkPad P16, i9, 64GB, RTX A5500";Lenovo;$3,899.99;4.9;23
82;B0H9L4N8Q2;"Razer Blade 17, i9, RTX 4090, 64GB";Razer;$3,499.99;4.8;36
83;B0I1M5O9R3;"HP ZBook Fury 16, i9, RTX 5000 Ada";HP;$4,199.99;4.7;17
84;B0J2N6P1S4;"Microsoft Surface Book 4, i7, 32GB";Microsoft;$2,499.99;4.4;98
85;B0K3O7Q2T5;"Samsung Galaxy Chromebook 2, 13.3""";Samsung;$699.99;3.9;67
86;B0L4P8R3U6;"ASUS Chromebook CM14, 14""";ASUS;$329.99;3.4;112
87;B0M5Q9S4V7;"Acer Chromebook 315, 15.6""";Acer;$279.99;3.2;204
88;B0N6R1T5W8;"Lenovo Chromebook Flex 5, 13.3""";Lenovo;$429.99;3.8;89
89;B0O7S2U6X9;"Dell Chromebook 3110, 11.6""";Dell;$249.99;3.1;56
90;B0P8T3V7Y1;"HP Chromebook x360, 14""";HP;$499.99;3.9;134
91;B0Q9U4W8Z2;"MSI Summit E16, i7, RTX 4070, 32GB";MSI;$1,899.99;4.5;43
92;B0R1V5X9A3;"ASUS ExpertBook B9, i7, 16GB, 1TB";ASUS;$1,649.99;4.7;28
93;B0S2W6Y1B4;"Acer TravelMate Spin P4, i5, 8GB";Acer;$999.99;4.0;55
94;B0T3X7Z2C5;"Lenovo ThinkBook 14s, i7, 16GB";Lenovo;$1,149.99;4.3;112
95;B0U4Y8A3D6;"Dell Vostro 3520, i5, 8GB, 256GB";Dell;$599.99;3.7;345
96;B0V5Z9B4E7;"HP Pavilion Plus 14, i7, OLED, 16GB";HP;$999.99;4.4;267
97;B0W6A1C5F8;"ASUS ROG Zephyrus M16, i9, RTX 4080";ASUS;$2,199.99;4.7;123
98;B0X7B2D6G9;"Acer Predator Helios Neo 16, i7, RTX 4060";Acer;$1,299.99;4.2;198
99;B0Y8C3E7H1;"MSI Vector GP68, i9, RTX 4090, 32GB";MSI;$2,799.99;4.9;34
100;B0Z9D4F8I2;"Samsung Galaxy Book 4 Pro, 16""";Samsung;$1,449.99;4.5;156
101;B0A1E5G9J3;"Dell Inspiron 15 3511, i3, 4GB, 128GB";Dell;$349.99;3.0;412
102;B0B2F6H1K4;"Lenovo IdeaPad Duet 5, Chromebook";Lenovo;$499.99;3.4;78
103;B0C3G7I2L5;"ASUS TUF Gaming F17, i7, RTX 3050";ASUS;$899.99;3.8;567
104;B0D4H8J3M6;"Acer Swift Go 14, i7, 16GB, 1TB";Acer;$1,099.99;4.2;234
105;B0E5I9K4N7;"HP OMEN Transcend 16, i9, RTX 4080";HP;$2,299.99;4.6;67
106;B0F6J1L5O8;"MSI Bravo 15, Ryzen 7, RX 6500M";MSI;$899.99;3.7;112
107;B0G7K2M6P9;"Dell Latitude 3540, Ryzen 5, 8GB";Dell;$779.99;3.9;89
108;B0H8L3N7Q1;"Lenovo Yoga Slim 7 Pro, i7, 16GB";Lenovo;$1,299.99;4.3;178
109;B0I9M4O8R2;"ASUS ProArt StudioBook 16, i9, RTX 4070";ASUS;$2,399.99;4.8;31
110;B0J1N5P9S3;"Acer Enduro Urban N3, i5, 8GB";Acer;$849.99;3.6;56
111;B0K2O6Q1T4;"HP EliteBook 845 G9, Ryzen 7, 16GB";HP;$1,399.99;4.5;95
112;B0L3P7R2U5;"MSI Modern 15, i7, 16GB, 512GB";MSI;$849.99;3.9;134
113;B0M4Q8S3V6;"Samsung Galaxy Book Pro, 13.3""";Samsung;$1,099.99;4.2;298
114;B0N5R9T4W7;"Dell G7 17, i9, RTX 3080, 32GB";Dell;$2,199.99;4.5;203
115;B0O6S1U5X8;"ASUS VivoBook Flip 14, Ryzen 5";ASUS;$749.99;3.7;189
116;B0P7T2V6Y9;"Acer Aspire Vero 15, i7, 16GB";Acer;$999.99;4.1;156
117;B0Q8U3W7Z1;"Lenovo ThinkPad L15, i5, 8GB";Lenovo;$879.99;3.5;78
118;B0R9V4X8A2;"HP Spectre 15, i7, 4K OLED, 16GB";HP;$1,799.99;4.8;245
119;B0S1W5Y9B3;"MSI Katana GF66, i7, RTX 3060";MSI;$1,199.99;4.2;432
120;B0T2X6Z1C4;"Dell XPS 13 9315, i5, 8GB, 256GB";Dell;$1,099.99;4.4;312
121;B0U3Y7A2D5;"ASUS ROG Ally, Ryzen Z1, 16GB";ASUS;$699.99;4.6;567
122;B0V4Z8B3E6;"Acer Chromebook Spin 514, Ryzen 5";Acer;$549.99;3.8;78
123;B0W5A9C4F7;"Lenovo Legion 7i, i9, RTX 4090, 64GB";Lenovo;$3,199.99;4.9;89
124;B0X6B1D5G8;"HP Envy x360 13, Ryzen 7, 16GB";HP;$899.99;4.1;134
125;B0Y7C2E6H9;"MSI Stealth GS77, i9, RTX 4080";MSI;$2,699.99;4.6;45
126;B0Z8D3F7I1;"Samsung Galaxy Book 4 Ultra, i9, RTX 4090";Samsung;$2,499.99;4.8;67
127;B0A9E4G8J2;"Dell Inspiron 16 Plus, i7, RTX 4060";Dell;$1,449.99;4.2;198
128;B0B1F5H9K3;"ASUS ZenBook Duo 14, i7, 16GB";ASUS;$1,699.99;4.4;132
129;B0C2G6I1L4;"Acer Predator Triton 17X, i9, RTX 4090";Acer;$3,499.99;4.9;22
130;B0D3H7J2M5;"Lenovo ThinkPad X1 Yoga Gen 8, i7";Lenovo;$1,899.99;4.6;76
131;B0E4I8K3N6;"HP OMEN 16, Ryzen 9, RTX 4070, 32GB";HP;$1,799.99;4.5;211
132;B0F5J9L4O7;"MSI CreatorPro M16, i7, RTX A2000";MSI;$1,899.99;4.2;34
133;B0G6K1M5P8;"Dell Precision 3561, i7, 16GB, T1200";Dell;$1,699.99;4.1;47
134;B0H7L2N6Q9;"ASUS ROG Strix G18, i9, RTX 4080";ASUS;$2,399.99;4.8;56
135;B0I8M3O7R1;"Acer Swift Edge 16, Ryzen 7, 16GB";Acer;$1,149.99;4.3;123
136;B0J9N4P8S2;"Lenovo IdeaPad 5 Pro, i5, 8GB";Lenovo;$799.99;3.8;234
137;B0K1O5Q9T3;"HP Elite Dragonfly G3, i7, 16GB";HP;$2,099.99;4.6;41
138;B0L2P6R1U4;"MSI Pulse GL66, i7, RTX 3070, 16GB";MSI;$1,399.99;4.3;198
139;B0M3Q7S2V5;"Samsung Galaxy Book Flex2, 13.3""";Samsung;$1,299.99;4.2;87
140;B0N4R8T3W6;"Dell Latitude 9420, i7, 16GB";Dell;$1,899.99;4.5;52
141;B0O5S9U4X7;"ASUS VivoBook S14, i7, 16GB, 1TB";ASUS;$999.99;4.0;312
142;B0P6T1V5Y8;"Acer Aspire 7, i5, GTX 1650, 8GB";Acer;$699.99;3.5;456
143;B0Q7U2W6Z9;"HP Pavilion 15, Ryzen 5, 8GB";HP;$599.99;3.2;567
144;B0R8V3X7A1;"Lenovo ThinkBook 13s, i5, 8GB";Lenovo;$729.99;3.8;89
145;B0S9W4Y8B2;"ASUS ExpertBook B5, i7, 16GB";ASUS;$1,299.99;4.3;34
146;B0T1X5Z9C3;"Acer TravelMate P2, i5, 8GB";Acer;$749.99;3.6;67
147;B0U2Y6A1D4;"Dell Vostro 3420, i3, 4GB, 128GB";Dell;$399.99;2.9;123
148;B0V3Z7B2E5;"HP 255 G9, Ryzen 3, 4GB, 128GB";HP;$329.99;3.1;89
149;B0W4A8C3F6;"Lenovo IdeaPad 1, Celeron, 4GB, 64GB";Lenovo;$199.99;2.8;234
150;B0X5B9D4G7;"ASUS BR1100, Celeron, 4GB, 64GB";ASUS;$259.99;3.1;56
151;B0Y6C1E5H8;"Acer Chromebook 314, Celeron, 4GB";Acer;$229.99;3.0;78
152;B0Z7D2F6I9;"Samsung Galaxy Chromebook Go, 14""";Samsung;$399.99;3.4;45
153;B0A8E3G7J1;"Dell Chromebook 3120, Celeron, 4GB";Dell;$219.99;2.9;67
154;B0B9F4H8K2;"HP Chromebook 14a, Celeron, 4GB";HP;$279.99;3.2;89
155;B0C1G5I9L3;"Lenovo Chromebook 3, Celeron, 4GB";Lenovo;$249.99;2.9;112
156;B0D2H6J1M4;"ASUS Chromebook Flip C536, i3, 8GB";ASUS;$499.99;3.7;34
157;B0E3I7K2N5;"Acer Chromebook 516 GE, i5, 8GB";Acer;$649.99;3.9;56
158;B0F4J8L3O6;"MSI Gaming GE76, i9, RTX 3080 Ti";MSI;$2,899.99;4.8;45
159;B0G5K9M4P7;"Dell Alienware x17 R2, i9, RTX 4090";Dell;$3,299.99;4.9;78
160;B0H6L1N5Q8;"Lenovo Legion 5, Ryzen 7, RTX 3060";Lenovo;$1,249.99;4.4;345
161;B0I7M2O6R9;"ASUS ROG Strix G15, Ryzen 9, RTX 3080";ASUS;$2,099.99;4.6;134
162;B0J8N3P7S1;"HP OMEN 15, i7, RTX 3070, 16GB";HP;$1,599.99;4.5;198
163;B0K9O4Q8T2;"Acer Nitro 5, Ryzen 5, RTX 3050";Acer;$799.99;3.8;678
164;B0L1P5R9U3;"MSI Sword 15, i7, RTX 4060, 16GB";MSI;$1,299.99;4.2;87
165;B0M2Q6S1V4;"Samsung Galaxy Book 2, 15.6""";Samsung;$849.99;4.0;156
166;B0N3R7T2W5;"Dell Inspiron 14, i5, 8GB, 256GB";Dell;$549.99;3.6;234
167;B0O4S8U3X6;"Lenovo ThinkPad E14, Ryzen 5, 8GB";Lenovo;$799.99;3.8;67
168;B0P5T9V4Y7;"ASUS ZenBook 13, i7, 16GB, 512GB";ASUS;$1,149.99;4.3;189
169;B0Q6U1W5Z8;"HP Pavilion Gaming 15, i5, GTX 1650";HP;$729.99;3.4;456
170;B0R7V2X6A9;"Acer Swift 5, i7, 16GB, 1TB";Acer;$1,199.99;4.5;112
171;B0S8W3Y7B1;"MSI Prestige 15, i7, 32GB, 1TB";MSI;$1,699.99;4.6;34
172;B0T9X4Z8C2;"Dell Latitude 7420, i7, 16GB";Dell;$1,599.99;4.3;56
173;B0U1Y5A9D3;"Lenovo Yoga 6, Ryzen 7, 16GB";Lenovo;$899.99;4.1;123
174;B0V2Z6B1E4;"ASUS TUF Gaming A17, Ryzen 7, RTX 4060";ASUS;$1,199.99;4.2;198
175;B0W3A7C2F5;"Acer Aspire 3, Ryzen 3, 4GB, 128GB";Acer;$349.99;3.0;234
176;B0X4B8D3G6;"HP Chromebook 11a, Celeron, 4GB";HP;$199.99;2.8;56
177;B0Y5C9E4H7;"Lenovo IdeaPad Slim 3, i3, 8GB";Lenovo;$429.99;3.3;78
178;B0Z6D1F5I8;"ASUS VivoBook 15, Ryzen 3, 4GB";ASUS;$389.99;3.1;112
179;B0A7E2G6J9;"Dell Inspiron 15, i5, 8GB, 512GB";Dell;$629.99;3.8;345
180;B0B8F3H7K1;"MSI Modern 15, i7, 16GB, 1TB";MSI;$999.99;4.1;67
181;B0C9G4I8L2;"Acer Predator Helios 300, i9, RTX 4070";Acer;$2,099.99;4.6;89
182;B0D1H5J9M3;"Lenovo Legion Pro 7, Ryzen 9, RTX 4090";Lenovo;$2,899.99;4.9;45
183;B0E2I6K1N4;"HP Spectre x360 14, i7, 16GB, OLED";HP;$1,499.99;4.5;123
184;B0F3J7L2O5;"ASUS ROG Zephyrus Duo 16, i9, RTX 4090";ASUS;$3,699.99;4.9;34
185;B0G4K8M3P6;"Dell G5 15, i7, RTX 3060, 16GB";Dell;$1,349.99;4.1;234
186;B0H5L9N4Q7;"Acer Swift 3, Ryzen 7, 16GB, 512GB";Acer;$899.99;4.2;156
187;B0I6M1O5R8;"MSI Katana 17, i9, RTX 4070, 32GB";MSI;$1,899.99;4.5;78
188;B0J7N2P6S9;"Samsung Galaxy Book 3 Pro, 14""";Samsung;$1,399.99;4.4;112
189;B0K8O3Q7T1;"Lenovo ThinkPad X13, i5, 8GB, 256GB";Lenovo;$1,099.99;4.0;45
190;B0L9P4R8U2;"HP EliteBook 840 G8, i5, 8GB";HP;$899.99;3.8;67
191;B0M1Q5S9V3;"ASUS ProArt Studiobook 15, i9, RTX 4080";ASUS;$2,499.99;4.8;23
192;B0N2R6T1W4;"Acer Enduro N3, i5, 8GB, 512GB";Acer;$949.99;4.0;34
193;B0O3S7U2X5;"Dell Latitude 5510, i7, 16GB";Dell;$1,299.99;4.2;56
194;B0P4T8V3Y6;"MSI Summit E13, i7, 16GB, 1TB";MSI;$1,649.99;4.3;78
195;B0Q5U9W4Z7;"Lenovo Yoga 7, Ryzen 5, 8GB";Lenovo;$699.99;3.6;89
196;B0R6V1X5A8;"ASUS VivoBook Pro 15, i7, RTX 3050";ASUS;$1,099.99;4.0;123
197;B0S7W2Y6B9;"HP Pavilion x360, 14"", i5, 8GB";HP;$729.99;3.8;156
198;B0T8X3Z7C1;"Acer Aspire 5, Ryzen 5, 8GB, 256GB";Acer;$549.99;3.5;234
199;B0U9Y4A8D2;"Dell Inspiron 17, i7, 16GB, 1TB";Dell;$999.99;4.2;67
200;B0V1Z5B9E3;"Lenovo IdeaPad Gaming 3, Ryzen 5, GTX 1650";Lenovo;$779.99;3.8;189
201;B0W2A6C1F4;"ASUS TUF Dash F15, i5, RTX 3050";ASUS;$999.99;3.6;234
202;B0X3B7D2G5;"MSI GF65 Thin, i7, RTX 3060, 16GB";MSI;$1,149.99;4.1;156
203;B0Y4C8E3H6;"Samsung Galaxy Book 4, 15.6""";Samsung;$999.99;4.0;123
204;B0Z5D9F4I7;"HP OMEN 17, i9, RTX 4090, 64GB";HP;$2,999.99;4.9;45
205;B0A6E1G5J8;"Acer Predator Triton 300, i7, RTX 3070";Acer;$1,699.99;4.5;78
206;B0B7F2H6K9;"Lenovo Legion 5 Pro, Ryzen 9, RTX 4080";Lenovo;$2,099.99;4.7;34
207;B0C8G3I7L1;"ASUS ROG Strix G17, Ryzen 9, RTX 4080";ASUS;$2,299.99;4.8;56
208;B0D9H4J8M2;"Dell XPS 14, i7, 32GB, OLED";Dell;$2,199.99;4.6;123
209;B0E1I5K9N3;"MSI Vector GP76, i9, RTX 4090, 64GB";MSI;$3,199.99;4.9;23
210;B0F2J6L1O4;"HP Spectre 16, i9, RTX 4070, 32GB";HP;$2,199.99;4.7;67
211;B0G3K7M2P5;"Acer Swift 14, i5, 8GB, 512GB";Acer;$799.99;3.7;89
212;B0H4L8N3Q6;"Lenovo ThinkBook 16p, i7, RTX 3060";Lenovo;$1,299.99;4.2;45
213;B0I5M9O4R7;"ASUS ZenBook Pro 15, i9, RTX 3080";ASUS;$2,399.99;4.8;56
214;B0J6N1P5S8;"Dell Precision 7760, i9, RTX A5000";Dell;$3,699.99;4.9;12
215;B0K7O2Q6T9;"MSI Creator Z17, i9, RTX 4080, 64GB";MSI;$3,299.99;4.8;34
216;B0L8P3R7U1;"HP Elite Dragonfly Max, i7, 16GB";HP;$2,299.99;4.5;23
217;B0M9Q4S8V2;"Acer Chromebook 715, i5, 8GB";Acer;$699.99;3.9;56
218;B0N1R5T9W3;"Lenovo Chromebook Duet 3, 10.95""";Lenovo;$399.99;3.5;78
219;B0O2S6U1X4;"ASUS Chromebook Vibe CX34, i3, 8GB";ASUS;$599.99;3.8;34
220;B0P3T7V2Y5;"Dell Chromebook 3400, Celeron, 4GB";Dell;$299.99;3.1;45
221;B0Q4U8W3Z6;"HP Chromebook x360 14a, i3, 8GB";HP;$499.99;3.7;67
222;B0R5V9X4A7;"MSI Chromebook C13, i5, 8GB";MSI;$549.99;3.5;12
223;B0S6W1Y5B8;"Acer Chromebook Spin 713, i7, 16GB";Acer;$899.99;4.2;34
224;B0T7X2Z6C9;"Lenovo ThinkPad C13 Yoga, Ryzen 5";Lenovo;$749.99;3.9;45
225;B0U8Y3A7D1;"ASUS Chromebook Flip CX5, i5, 8GB";ASUS;$699.99;4.0;56
226;B0V9Z4B8E2;"Dell Latitude 7330 Rugged, i7, 16GB";Dell;$2,499.99;4.6;12
227;B0W1A5C9F3;"HP ProBook 445 G9, Ryzen 7, 16GB";HP;$1,099.99;4.2;67
228;B0X2B6D1G4;"Lenovo ThinkPad T14s, i7, 16GB";Lenovo;$1,499.99;4.5;89
229;B0Y3C7E2H5;"ASUS ExpertBook B7, i9, 32GB, 1TB";ASUS;$2,199.99;4.8;23
230;B0Z4D8F3I6;"Acer TravelMate Spin B3, i5, 8GB";Acer;$899.99;3.7;34
231;B0A5E9G4J7;"MSI Summit B15, i7, 16GB, 1TB";MSI;$1,599.99;4.3;45
232;B0B6F1H5K8;"HP 14s, i3, 8GB, 256GB";HP;$499.99;3.3;123
233;B0C7G2I6L9;"Dell Inspiron 13, i5, 8GB, 512GB";Dell;$749.99;3.8;89
234;B0D8H3J7M1;"Lenovo V15, i3, 4GB, 128GB";Lenovo;$329.99;3.0;67
235;B0E9I4K8N2;"ASUS X415, i5, 8GB, 256GB";ASUS;$529.99;3.5;56
236;B0F1J5L9O3;"Acer Extensa 15, i3, 4GB, 128GB";Acer;$349.99;3.0;45
237;B0G2K6M1P4;"MSI Modern 14, i3, 8GB, 256GB";MSI;$499.99;3.3;34
238;B0H3L7N2Q5;"HP 255 G8, Ryzen 3, 4GB";HP;$299.99;3.0;78
239;B0I4M8O3R6;"Lenovo ThinkBook 14, i7, 16GB";Lenovo;$1,199.99;4.3;89
240;B0J5N9P4S7;"ASUS TUF Gaming A16, Ryzen 7, RTX 4070";ASUS;$1,499.99;4.5;56
241;B0K6O1Q5T8;"Acer Nitro 17, i9, RTX 4080, 32GB";Acer;$2,199.99;4.6;34
242;B0L7P2R6U9;"Dell G16, i9, RTX 4090, 64GB";Dell;$2,899.99;4.9;23
243;B0M8Q3S7V1;"HP OMEN 16, i7, RTX 4060, 32GB";HP;$1,699.99;4.3;78
244;B0N9R4T8W2;"Lenovo Legion Slim 5, Ryzen 5, RTX 4060";Lenovo;$1,199.99;4.2;45
245;B0O1S5U9X3;"ASUS ROG Zephyrus G16, i9, RTX 4080";ASUS;$2,399.99;4.8;56
246;B0P2T6V1Y4;"MSI Sword 17, i7, RTX 4070, 16GB";MSI;$1,799.99;4.5;34
247;B0Q3U7W2Z5;"Acer Predator Helios 16, i9, RTX 4090";Acer;$2,799.99;4.9;12
248;B0R4V8X3A6;"Samsung Galaxy Book 3 360, 15.6""";Samsung;$1,249.99;4.2;89
249;B0S5W9Y4B7;"Dell Latitude 7440, i7, 32GB, 1TB";Dell;$2,099.99;4.6;45
250;B0T6X1Z5C8;"HP EliteBook 865 G9, Ryzen 9, 32GB";HP;$1,899.99;4.5;34
251;B0U7Y2A6D9;"ASUS VivoBook 16, i5, 8GB, 512GB";ASUS;$649.99;3.6;123
252;B0V8Z3B7E1;"Lenovo IdeaPad Flex 5i, i5, 16GB";Lenovo;$799.99;3.8;56
253;B0W9A4C8F2;"Acer Aspire 5, i7, 16GB, 1TB";Acer;$899.99;4.1;78
254;B0X1B5D9G3;"MSI Thin GF63, i5, RTX 3050, 8GB";MSI;$749.99;3.5;89
